ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Arnaldi M.,Walton A.,41,174,1077,354,7,6,6,2,6,4,,,,,3,0,Completed,1.2,4.5,1.22,4.84,1.23,4.84,1.21,4.48
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Munar J.,Shevchenko A.,82,48,706,975,6,3,6,3,6,1,,,,,3,0,Completed,3.2,1.36,3.06,1.43,3.51,1.48,3,1.4
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Van De Zandschulp B.,4,59,6490,890,6,4,7,5,6,3,,,,,3,0,Completed,1.06,10,1.06,13.9,1.08,15.96,1.05,10.8
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Kotov P.,Rinderknech A.,65,94,835,629,7,5,6,1,6,7,6,7,6,3,3,2,Completed,1.62,2.3,1.69,2.3,1.72,2.37,1.67,2.23
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo F.,Sweeny D.,21,257,1760,228,3,6,6,3,6,4,2,6,6,2,3,2,Completed,1.36,3.2,1.4,3.21,1.4,3.46,1.35,3.22
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Marozsan F.,Cilic M.,67,N/A,823,N/A,6,1,2,6,6,2,7,5,,,3,1,Completed,1.73,2.1,1.76,2.19,1.78,2.22,1.74,2.11
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Seyboth Wild T.,5,77,5010,718,7,5,6,4,3,6,4,6,7,6,3,2,Completed,1.03,17,1.03,25.21,1.04,25.34,1.02,16.12
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Machac T.,Mochizuki S.,75,136,748,457,7,5,6,1,7,5,,,,,3,0,Completed,1.25,4,1.3,3.92,1.31,4,1.27,3.82
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,De Jong J.,Cachin P.,161,74,393,763,4,6,6,2,6,3,6,4,,,3,1,Completed,1.36,3.2,1.35,3.55,1.43,3.55,1.37,3.12
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Baez S.,Wolf J.J.,29,57,1435,900,3,6,6,2,6,3,3,0,,,2,1,Retired,2.38,1.57,2.45,1.62,2.46,1.62,2.38,1.58
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Diaz Acosta F.,12,90,2840,661,4,6,6,3,3,6,6,2,6,4,3,2,Completed,1.03,15,1.04,17.97,1.05,32.26,1.03,14.76
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Galan D.E.,Kubler J.,87,113,676,561,2,6,6,3,7,6,4,6,7,6,3,2,Completed,2.5,1.53,2.49,1.61,2.65,1.61,2.46,1.55
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Harris L.,110,167,575,371,4,6,7,6,7,5,7,6,,,3,1,Completed,3.2,1.36,3.59,1.34,3.59,1.4,3.34,1.33
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Prizmic D.,1,187,11055,321,6,2,6,7,6,3,6,4,,,3,1,Completed,1.01,34,1.02,31.46,1.03,34,1.01,21.89
5,Melbourne,Australian Open,14/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Coric B.,17,40,2100,1100,6,3,7,6,2,6,6,3,,,3,1,Completed,1.53,2.5,1.56,2.6,1.59,2.6,1.54,2.48
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Korda S.,Kopriva V.,26,132,1480,498,6,1,6,4,2,6,4,6,6,2,3,2,Completed,1.08,8,1.08,10.76,1.11,10.76,1.08,8.5
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Ruusuvuori E.,Kypson P.,53,183,921,330,4,6,6,3,6,4,7,6,,,3,1,Completed,1.1,7,1.12,7.85,1.14,8.17,1.11,6.76
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Musetti L.,Bonzi B.,28,106,1440,588,7,6,7,6,4,6,6,2,,,3,1,Completed,1.36,3.2,1.32,3.73,1.4,3.73,1.35,3.25
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Cobolli F.,Jarry N.,100,18,617,1870,6,4,3,6,6,3,2,6,7,5,3,2,Completed,4.5,1.2,4.46,1.25,4.73,1.26,4.24,1.23
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Gaston H.,Carballes Baena R.,97,63,626,846,6,3,6,2,3,6,6,4,,,3,1,Completed,2.2,1.67,2.41,1.64,2.41,1.7,2.29,1.63
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Atmane T.,3,144,7555,429,5,7,6,2,6,4,1,0,,,2,1,Retired,1.01,23,1.02,29.45,1.03,29.45,1.02,17.02
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Shelton B.,Bautista Agut R.,16,72,2225,776,6,2,7,6,7,5,,,,,3,0,Completed,1.33,3.4,1.45,2.98,1.5,3.4,1.42,2.9
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Davidovich Fokina A.,Lestienne C.,24,99,1530,619,6,4,6,4,7,6,,,,,3,0,Completed,1.17,5,1.25,4.46,1.25,5.5,1.19,4.82
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Popyrin A.,Polmans M.,43,154,1052,406,6,3,7,6,6,2,,,,,3,0,Completed,1.17,5,1.2,5.18,1.21,5.5,1.17,5.03
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Wawrinka S.,19,56,1765,907,6,4,3,6,5,7,6,3,6,0,3,2,Completed,1.4,3,1.49,2.84,1.49,3.01,1.43,2.84
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Van Assche L.,Duckworth J.,79,95,715,628,6,7,6,3,3,6,6,3,6,3,3,2,Completed,1.73,2.1,1.93,1.98,1.93,2.12,1.82,2
5,Melbourne,Australian Open,15/01/2024,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Bergs Z.,7,129,4025,508,5,7,6,1,6,1,6,3,,,3,1,Completed,1.1,7,1.12,7.79,1.12,8.9,1.09,7.42
