ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Nakashima B.,Moreno De Alboran N.,84,130,700,497,6,1,6,7,6,3,6,2,,,3,1,Completed,1.57,2.38,1.54,2.66,1.59,2.66,1.54,2.49
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Rublev A.,Daniel T.,6,80,4700,715,6,2,6,7,6,3,7,5,,,3,1,Completed,1.04,13,1.06,14.08,1.08,14.08,1.05,11.4
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Martinez P.,Tirante T.A.,48,109,995,580,5,7,6,4,3,6,6,4,6,3,3,2,Completed,1.29,3.75,1.31,3.91,1.35,3.91,1.3,3.58
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Sonego L.,Humbert U.,49,16,991,2285,6,4,2,6,6,4,6,3,,,3,1,Completed,2.5,1.53,2.75,1.52,2.75,1.57,2.59,1.51
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Zhang Zh.,Vukic A.,44,89,1056,672,6,4,4,6,6,3,7,5,,,3,1,Completed,1.36,3.2,1.39,3.3,1.39,3.43,1.35,3.22
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,De Jong J.,Draper J.,176,39,344,1131,7,5,6,4,6,7,3,6,6,3,3,2,Completed,4.5,1.2,4.22,1.27,4.54,1.29,4.12,1.24
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Hurkacz H.,Mochizuki S.,8,162,3885,366,4,6,6,3,3,6,6,0,6,3,3,2,Completed,1.03,15,1.05,15.11,1.09,15.11,1.04,12.27
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Dimitrov G.,Kovacevic A.,10,87,3555,681,6,4,6,3,6,4,,,,,3,0,Completed,1.08,8,1.1,8.78,1.12,8.85,1.09,7.5
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Marterer M.,Thompson J.,101,36,622,1156,6,3,6,2,6,0,,,,,3,0,Completed,2.3,1.62,2.51,1.6,2.71,1.63,2.42,1.57
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Alcaraz C.,Wolf J.J.,3,107,7300,585,6,1,6,2,6,1,,,,,3,0,Completed,1.01,26,1.01,41.77,1.03,41.77,1.01,23.24
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Gasquet R.,Coric B.,124,73,515,744,7,6,7,6,6,4,,,,,3,0,Completed,3.2,1.36,3.23,1.4,3.25,1.41,3.1,1.37
32,Paris,French Open,26/05/2024,Grand Slam,Outdoor,Clay,1st Round,5,Muller A.,Nardi L.,90,72,670,748,6,4,6,1,6,3,,,,,3,0,Completed,1.53,2.5,1.6,2.52,1.62,2.54,1.56,2.44
