ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Marterer M.,4,100,7035,561,6,2,6,7,6,3,6,2,,,3,1,Completed,1.03,17,1.02,27.72,1.04,27.72,1.02,15.86
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Bautista Agut R.,Nardi L.,67,90,791,612,7,5,7,6,7,6,,,,,3,0,Completed,1.22,4.33,1.28,4.1,1.28,4.34,1.24,4.11
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Comesana F.,Stricker D.,108,169,532,345,4,6,6,3,7,6,6,3,,,3,1,Completed,3.2,1.36,3.45,1.36,3.47,1.41,3.17,1.36
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Humbert U.,Monteiro T.,17,75,2330,739,6,3,6,4,6,4,,,,,3,0,Completed,1.13,6,1.13,7.11,1.15,7.11,1.13,6.21
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Krueger M.,Grenier H.,179,173,332,341,4,6,6,3,6,4,7,5,,,3,1,Completed,1.8,2,1.73,2.25,1.8,2.34,1.73,2.13
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Carballes Baena R.,Choinski J.,55,276,916,199,6,2,6,3,5,7,6,7,6,3,3,2,Completed,1.5,2.63,1.47,2.89,1.51,2.89,1.48,2.66
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Bublik A.,72,27,754,1650,6,4,3,6,5,7,6,3,6,4,3,2,Completed,1.67,2.2,1.71,2.27,1.74,2.33,1.67,2.2
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Shelton B.,Thiem D.,13,210,3110,283,6,4,6,2,6,2,,,,,3,0,Completed,1.07,9,1.07,12.22,1.08,12.22,1.06,9.47
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Berrettini M.,Ramos-Vinolas A.,44,122,1160,483,7,6,6,2,6,3,,,,,3,0,Completed,1.01,26,1.02,28.24,1.03,28.24,1.01,19.11
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Ruud C.,Bu Y.,8,123,3855,483,7,6,6,2,6,2,,,,,3,0,Completed,1.25,4,1.25,4.46,1.26,4.46,1.24,4.14
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Popyrin A.,Kwon S.W.,28,340,1635,145,7,5,6,2,6,3,,,,,3,0,Completed,1.1,7,1.12,7.54,1.14,7.65,1.11,6.62
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Martinez P.,Kasnikowski M.,43,194,1168,308,6,7,6,1,6,2,3,6,7,6,3,2,Completed,1.8,2,1.85,2.07,1.89,2.07,1.83,1.99
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Seyboth Wild T.,6,68,4805,790,6,3,7,6,7,5,,,,,3,0,Completed,1.08,8,1.1,8.64,1.1,8.64,1.09,7.85
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Ugo Carabelli C.,12,93,3120,608,7,5,6,1,6,2,,,,,3,0,Completed,1.01,29,1.02,36.25,1.02,36.25,1.01,20.24
51,New York,US Open,26/08/2024,Grand Slam,Outdoor,Hard,1st Round,5,Lehecka J.,Fucsovics M.,38,81,1255,694,1,6,6,4,6,3,3,0,,,2,1,Retired,1.5,2.63,1.52,2.74,1.53,2.87,1.49,2.65
