ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Fognini F.,Van Assche L.,94,104,635,585,6,1,6,3,7,5,,,,,3,0,Completed,2,1.8,2.2,1.75,2.2,1.82,2.08,1.75
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Shang J.,Garin C.,91,106,658,570,7,5,6,4,6,4,,,,,3,0,Completed,1.8,2,1.9,2.01,1.91,2.1,1.84,1.97
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Ruud C.,Bolt A.,8,234,4025,252,7,6,6,4,6,4,,,,,3,0,Completed,1.4,3,1.45,3,1.45,3.2,1.4,2.97
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Coric B.,Meligeni Alves F.,89,145,664,403,6,3,7,6,6,3,,,,,3,0,Completed,1.62,2.3,1.61,2.49,1.66,2.49,1.59,2.37
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Struff J.L.,Marozsan F.,41,43,1135,1047,6,4,6,7,6,2,6,3,,,3,1,Completed,1.25,4,1.23,4.8,1.26,4.8,1.22,4.3
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Dimitrov G.,Lajovic D.,10,56,3750,871,6,3,6,4,7,5,,,,,3,0,Completed,1.03,15,1.05,14.72,1.05,21.59,1.04,12.61
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Shapovalov D.,Jarry N.,121,20,530,1825,6,1,7,5,6,4,,,,,3,0,Completed,1.57,2.38,1.58,2.56,1.63,2.56,1.57,2.41
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Tiafoe F.,Arnaldi M.,29,35,1355,1245,6,7,2,6,6,1,6,3,6,3,3,2,Completed,1.62,2.3,1.76,2.19,1.79,2.32,1.7,2.16
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Thompson J.,Kotov P.,40,53,1206,893,5,7,5,7,6,4,6,4,6,4,3,2,Completed,1.22,4.33,1.24,4.62,1.29,4.62,1.23,4.18
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Zhang Z.,Janvier M.,38,225,1221,269,7,6,6,3,6,2,,,,,3,0,Completed,1.2,4.5,1.22,4.82,1.22,5,1.2,4.59
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Berrettini M.,Fucsovics M.,59,70,845,785,7,6,6,2,3,6,6,1,,,3,1,Completed,1.17,5,1.21,5.11,1.21,5.32,1.18,4.9
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Nakashima B.,Baez S.,65,18,825,2020,6,2,6,3,6,4,,,,,3,0,Completed,1.14,5.5,1.17,5.92,1.18,6,1.16,5.37
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Monfils G.,Mannarino A.,33,24,1260,1625,6,4,3,6,7,5,6,4,,,3,1,Completed,1.53,2.5,1.6,2.51,1.6,2.62,1.55,2.46
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Medvedev D.,Kovacevic A.,5,88,6445,681,6,3,6,4,6,2,,,,,3,0,Completed,1.01,23,1.04,19.96,1.04,23,1.02,14.64
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Wawrinka S.,Broom C.,95,248,633,242,6,3,7,5,6,4,,,,,3,0,Completed,1.62,2.3,1.67,2.35,1.67,2.35,1.62,2.3
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Muller A.,Gaston H.,102,71,601,783,6,4,7,6,7,6,,,,,3,0,Completed,2.38,1.57,2.31,1.69,2.43,1.69,2.27,1.63
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Altmaier D.,Fery A.,80,247,731,243,4,6,7,6,1,6,6,3,6,1,3,2,Completed,1.91,1.91,2.06,1.86,2.06,1.94,1.96,1.86
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Alcaraz C.,Lajal M.,3,269,8130,212,7,6,7,5,6,2,,,,,3,0,Completed,1.01,26,1.01,43.46,1.02,43.46,1.01,21.99
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Harris L.,Michelsen A.,118,55,541,881,3,6,4,6,7,6,6,2,7,6,3,2,Completed,1.73,2.1,1.82,2.11,1.85,2.11,1.77,2.06
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Cazaux A.,Bergs Z.,98,82,616,722,6,1,6,4,6,7,6,7,7,6,3,2,Completed,3.2,1.36,2.98,1.45,3.2,1.45,2.93,1.41
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Humbert U.,Shevchenko A.,16,57,2300,860,6,1,4,6,7,6,6,7,6,1,3,2,Completed,1.14,5.5,1.13,7.37,1.14,7.58,1.12,6.25
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Vukic A.,Ofner S.,69,45,789,1038,6,7,6,4,6,4,3,6,7,6,3,2,Completed,1.67,2.2,1.79,2.14,1.79,2.25,1.71,2.14
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Bublik A.,Mensik J.,23,78,1730,738,4,6,6,7,6,4,6,4,6,2,3,2,Completed,1.44,2.75,1.44,3.03,1.47,3.03,1.44,2.82
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Van De Zandschulp B.,Broady L.,97,156,618,384,6,2,4,6,6,3,6,2,,,3,1,Completed,1.62,2.3,1.64,2.47,1.64,2.47,1.6,2.34
39,London,Wimbledon,01/07/2024,Grand Slam,Outdoor,Grass,1st Round,5,Bautista Agut R.,Marterer M.,112,85,555,692,6,3,6,1,6,4,,,,,3,0,Completed,1.29,3.75,1.28,4.22,1.29,4.22,1.26,3.88
